User_ID,Timestamp,Steps,Calories_Burned,Distance_Covered,Exercise_Type,Exercise_Duration,Exercise_Intensity,Ambient_Temperature,Battery_Level,Altitude,UV_Exposure
U_00001,2021-01-01 00:00:00,9146,457.3,7.316800000000001,Running,1.2196752085897873,Low,27.271525452218636,97.33877727588288,1739.6906620562102,4.069132452770166
U_00002,2021-01-01 01:00:00,9362,468.1,7.4896,Yoga,1.3783986828859676,Moderate,24.43028845473875,66.57323958834472,4102.04282363623,1.7236722989813655
U_00003,2021-01-01 02:00:00,21,1.05,0.016800000000000002,Strength Training,0.803856639022763,Moderate,29.340573922870565,30.138828009596217,1794.8999354525802,0.13564677706983463
U_00004,2021-01-01 03:00:00,13252,662.6,10.601600000000001,None,0.0,None,25.289230147948423,78.83863973811124,4025.8409214645603,4.408342591832146
U_00005,2021-01-01 04:00:00,21,1.05,0.016800000000000002,Yoga,0.807389002065977,High,21.853589985065863,17.67326116957489,3422.381446942234,2.820738854882853
U_00006,2021-01-01 05:00:00,16396,819.8000000000001,13.116800000000001,None,0.0,None,34.727609445931535,25.683097365446347,2928.776228244933,3.757852869158765
U_00007,2021-01-01 06:00:00,13907,695.35,11.1256,Strength Training,1.1604843694488214,Moderate,28.945254801024504,57.676964500942354,908.8968338801811,5.810036223789742
U_00008,2021-01-01 07:00:00,18872,943.6,15.0976,Yoga,1.1366387947780574,Low,19.884301974869388,6.767281081803003,2681.2243426582704,6.905785382796298
U_00009,2021-01-01 08:00:00,465,23.25,0.372,Running,1.9522847912640608,Low,16.921034249305944,47.955492581064206,3649.2134819313883,1.4662993365845631
U_00010,2021-01-01 09:00:00,1229,61.45,0.9832000000000001,Strength Training,1.920947854771002,High,26.80549325994464,85.619417710544,60.80215398698685,4.402247467994929
U_00011,2021-01-01 10:00:00,12772,638.6,10.217600000000001,Strength Training,1.6044137432848837,High,35.752508422008404,53.05296026377434,4481.324654602063,1.6376585515572462
U_00012,2021-01-01 11:00:00,9748,487.40000000000003,7.7984,Strength Training,1.6153699957487329,Moderate,19.580783921973,66.18874656761894,3951.497089648612,0.9631929575358722
U_00013,2021-01-01 12:00:00,11792,589.6,9.4336,Strength Training,1.841913550836271,Moderate,28.086960609184466,94.4076246871805,3767.00233057005,7.30151022146725
U_00014,2021-01-01 13:00:00,13158,657.9000000000001,10.5264,Running,1.9484364933583072,Moderate,31.283517830603838,19.878921582502784,1949.6297882658303,3.123548628959547
U_00015,2021-01-01 14:00:00,14104,705.2,11.2832,Running,1.8239826455142514,Low,37.01626632844791,73.02844598173095,4609.667847624435,2.929570173319977
U_00016,2021-01-01 15:00:00,16202,810.1,12.9616,None,0.0,None,16.46548567669067,45.278992884107794,729.5917251313483,5.853834751322484
U_00017,2021-01-01 16:00:00,12458,622.9000000000001,9.9664,Strength Training,1.5137147167436433,Moderate,24.195036280984738,93.42567157662432,3510.7768834471663,3.4228883760982534
U_00018,2021-01-01 17:00:00,5681,284.05,4.5448,Yoga,1.9346795947971926,Moderate,35.116196338271976,54.333617664640045,2753.9210728514818,0.7195996148479304
U_00019,2021-01-01 18:00:00,19266,963.3000000000001,15.4128,Running,0.8382167226297168,Moderate,36.37872206367997,44.35365403486695,4070.5975485068625,7.659634826281034
U_00020,2021-01-01 19:00:00,8989,449.45000000000005,7.1912,Strength Training,1.322281665232385,Moderate,31.098288403523192,14.226818066857469,51.902331739682175,5.95481437056347
U_00021,2021-01-01 20:00:00,15820,791.0,12.656,Yoga,1.9948169328498966,High,28.538248412368215,10.937272305870152,723.5776819985001,3.147167485033946
U_00022,2021-01-01 21:00:00,12912,645.6,10.329600000000001,None,0.0,None,28.018924030789663,68.1120102720825,3349.3041833692787,4.027342030901366
U_00023,2021-01-01 22:00:00,18226,911.3000000000001,14.5808,Running,0.989205921261652,High,39.31130005639707,100.18967431961859,1980.4543274853474,1.6306690599021127
U_00024,2021-01-01 23:00:00,14609,730.45,11.6872,Yoga,1.6302440248147174,Moderate,39.03785812344042,100.98528280486303,786.7445392411998,6.613656835448762
U_00025,2021-01-02 00:00:00,1615,80.75,1.292,None,0.0,None,38.61633096136735,31.55723509540178,4512.479163630954,1.2558720444359786
U_00026,2021-01-02 01:00:00,18741,937.0500000000001,14.9928,Running,0.6170245796138787,High,38.32117145458662,6.4482218423926465,2528.20271138524,6.750353383323809
U_00027,2021-01-02 02:00:00,9566,478.3,7.6528,Running,0.687516361862807,Moderate,36.53668488561043,40.705421289907534,3274.843615000301,5.120219615299674
U_00028,2021-01-02 03:00:00,664,33.2,0.5312,Running,1.3766194617081777,High,25.13400096992957,53.01637929397567,2887.5206141118597,6.708989248225141
U_00029,2021-01-02 04:00:00,7617,380.85,6.0936,Yoga,1.6417715548598832,Moderate,30.459353666183336,65.7776359915597,1214.9165990445465,1.2763724347279553
U_00030,2021-01-02 05:00:00,6430,321.5,5.144,Yoga,1.6464655400661097,Low,30.78292539771789,34.73874939450274,2124.7741724137677,4.6135865032384595
U_00031,2021-01-02 06:00:00,10515,525.75,8.412,Yoga,1.282317400905687,Moderate,36.63279523884408,24.94065742285183,2042.0238760931697,7.754852994314949
U_00032,2021-01-02 07:00:00,11705,585.25,9.364,Strength Training,1.9508499598349922,Low,26.110673245158008,81.19716139143598,2913.8323131559555,7.841403262339962
U_00033,2021-01-02 08:00:00,17182,859.1,13.745600000000001,Yoga,1.4784591211755083,Low,40.709835405082266,53.042217899284275,4404.492419080557,0.09403244251929177
U_00034,2021-01-02 09:00:00,9682,484.1,7.7456000000000005,None,0.0,None,16.659860749855532,94.74415737739453,3288.8170670865884,2.7892953161164042
U_00035,2021-01-02 10:00:00,18686,934.3000000000001,14.9488,None,0.0,None,16.779103422015766,31.901181362787177,2319.7857070904392,7.048199161872686
U_00036,2021-01-02 11:00:00,13547,677.35,10.8376,None,0.0,None,16.0586484166571,33.78044186229831,4130.245361238063,7.312429600136527
U_00037,2021-01-02 12:00:00,3927,196.35000000000002,3.1416,Yoga,1.8528840332277996,High,31.645040622223956,83.5912034534577,60.38279904971689,0.8802841482657939
U_00038,2021-01-02 13:00:00,7059,352.95000000000005,5.647200000000001,Yoga,1.7450036477922914,High,20.55598327670181,98.5809721793362,3874.409565758948,0.7357940700918899
U_00039,2021-01-02 14:00:00,3989,199.45000000000002,3.1912000000000003,Strength Training,1.3871498392015407,High,27.47533543603737,39.041785613357,4812.101933536867,2.3226020421211375
U_00040,2021-01-02 15:00:00,13658,682.9000000000001,10.926400000000001,None,0.0,None,21.47467535537028,21.54094753972323,2657.0912338610497,5.46877647661634
U_00041,2021-01-02 16:00:00,15599,779.95,12.4792,Running,1.5938539249003045,High,16.97512634243398,22.950050458255163,127.42368790482405,4.949358734859101
U_00042,2021-01-02 17:00:00,18294,914.7,14.635200000000001,Running,1.6401736845061037,Moderate,16.45632734033583,74.96330793890671,2458.6977999278542,7.696555485181227
U_00043,2021-01-02 18:00:00,7483,374.15000000000003,5.986400000000001,Yoga,0.63285709205429,High,32.15500613527089,68.28222939767889,3557.5607826346854,7.600699211892149
U_00044,2021-01-02 19:00:00,8572,428.6,6.857600000000001,Yoga,0.9722466099971941,Low,28.351441025964633,9.435192046117233,4422.17947167765,0.31093929642242024
U_00045,2021-01-02 20:00:00,19299,964.95,15.439200000000001,Strength Training,0.6266838108441806,Low,36.94633787347933,21.501415903999185,4392.819778305869,2.1836785351972274
U_00046,2021-01-02 21:00:00,19307,965.35,15.4456,Running,1.1100032780445626,Moderate,19.023857377508325,84.64961301772415,4885.408470168282,4.642451481092103
U_00047,2021-01-02 22:00:00,15074,753.7,12.0592,Yoga,1.3095463654368822,Low,35.37500181290585,4.565946865198801,526.3841631356197,3.2017908417628593
