User_ID,Timestamp,Notifications_Received,Screen_Time
U_00001,2021-01-01 00:00:00,34,1.8548334465648164
U_00002,2021-01-01 01:00:00,16,0.24545597350093562
U_00003,2021-01-01 02:00:00,41,2.5399006764182364
U_00004,2021-01-01 03:00:00,48,3.078410954206676
U_00005,2021-01-01 04:00:00,70,2.6242895818728247
U_00006,2021-01-01 05:00:00,15,5.500999403654733
U_00007,2021-01-01 06:00:00,54,5.885611617861169
U_00008,2021-01-01 07:00:00,76,7.844912565029224
U_00009,2021-01-01 08:00:00,22,0.8054650361672824
U_00010,2021-01-01 09:00:00,78,7.811548529458517
U_00011,2021-01-01 10:00:00,96,5.519872210262612
U_00012,2021-01-01 11:00:00,76,7.398281377937047
U_00013,2021-01-01 12:00:00,97,2.0985941763810096
U_00014,2021-01-01 13:00:00,71,5.61323854045572
U_00015,2021-01-01 14:00:00,52,1.398501300006215
U_00016,2021-01-01 15:00:00,87,2.6389351651118185
U_00017,2021-01-01 16:00:00,21,4.825234948386708
U_00018,2021-01-01 17:00:00,10,3.7525277488852318
U_00019,2021-01-01 18:00:00,65,1.9154511412196698
U_00020,2021-01-01 19:00:00,41,3.124555134614302
U_00021,2021-01-01 20:00:00,11,4.657769300692013
U_00022,2021-01-01 21:00:00,99,0.8993727107184286
U_00023,2021-01-01 22:00:00,86,4.135003138682264
U_00024,2021-01-01 23:00:00,25,4.342435897380463
U_00025,2021-01-02 00:00:00,38,3.3816151816781543
U_00026,2021-01-02 01:00:00,91,5.833315636974386
U_00027,2021-01-02 02:00:00,53,4.968442736581068
U_00028,2021-01-02 03:00:00,93,2.82100827444824
U_00029,2021-01-02 04:00:00,5,2.561526141704304
U_00030,2021-01-02 05:00:00,89,7.755595538444985
U_00031,2021-01-02 06:00:00,57,2.9563513282025458
U_00032,2021-01-02 07:00:00,93,1.5255754437292914
U_00033,2021-01-02 08:00:00,11,4.534598387504898
U_00034,2021-01-02 09:00:00,3,1.8876015409356395
U_00035,2021-01-02 10:00:00,60,7.45427445560123
U_00036,2021-01-02 11:00:00,79,0.6564696017548632
U_00037,2021-01-02 12:00:00,83,0.42089273267345817
U_00038,2021-01-02 13:00:00,60,1.1258100951184487
U_00039,2021-01-02 14:00:00,96,0.974150440552183
U_00040,2021-01-02 15:00:00,77,1.9884315372227759
